epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0558,0,0.44451,0,0,0,0,0,0,0,0,0.0670592,0.000332735,0.000332735
1,82.6254,0,0.44451,0,0,0,0,0,0,0,0,0.0670592,0.000332735,0.000332735
1,78.3896,0,0.44451,0,0,0,0,0,0,0,0,0.0670592,0.000332735,0.000332735
1,68.1581,0,0.29142,0,0,0,0,0,0,0,0,0.0670594,0.000332734,0.000332734
1,63.7853,0,0.29142,0,0,0,0,0,0,0,0,0.0670594,0.000332734,0.000332734
1,86.0858,0,0.29038,0,0,0,0,0,0,0,0,0.0670594,0.000332734,0.000332734
2,159.732,0,3e-05,0,0,0,0,0,0,0,0,0.0340462,0.000652879,0.000652879
3,251.939,0,0,0,0,0,0,0,0,0,0,0.00101978,0.000959824,0.000959824
4,341.62,0,0,0,0,0,0,0,0,0,0,0.0009406,0.0009406,0.0009406
5,438.047,0,0,0,0,0,0,0,0,0,0,0.0009208,0.0009208,0.0009208
6,535.551,0,0,0,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
7,633.352,0,0,0,0,0,0,0,0,0,0,0.0008812,0.0008812,0.0008812
8,996.716,0,0,0,0,0,0,0,0,0,0,0.0008614,0.0008614,0.0008614
9,1072.82,0,0,0,0,0,0,0,0,0,0,0.0008416,0.0008416,0.0008416
10,1193.18,0,0,0,0,0,0,0,0,0,0,0.0008218,0.0008218,0.0008218
11,1301.84,0,0,0,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
12,1415.66,0,0,0,0,0,0,0,0,0,0,0.0007822,0.0007822,0.0007822
13,1520.67,0,0,0,0,0,0,0,0,0,0,0.0007624,0.0007624,0.0007624
14,1625.09,0,0,0,0,0,0,0,0,0,0,0.0007426,0.0007426,0.0007426
15,1739.48,0,0,0,0,0,0,0,0,0,0,0.0007228,0.0007228,0.0007228
16,1848.11,0,0,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
17,1955.81,0,0,0,0,0,0,0,0,0,0,0.0006832,0.0006832,0.0006832
18,2161.24,0,0,0,0,0,0,0,0,0,0,0.0006634,0.0006634,0.0006634
19,3400.85,0,0,0,0,0,0,0,0,0,0,0.0006436,0.0006436,0.0006436
20,3533.61,0,0,0,0,0,0,0,0,0,0,0.0006238,0.0006238,0.0006238
21,3616.27,0,0,0,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
22,3717.55,0,0,0,0,0,0,0,0,0,0,0.0005842,0.0005842,0.0005842
23,3816.94,0,0,0,0,0,0,0,0,0,0,0.0005644,0.0005644,0.0005644
24,3921.75,0,0,0,0,0,0,0,0,0,0,0.0005446,0.0005446,0.0005446
25,4029.68,0,0,0,0,0,0,0,0,0,0,0.0005248,0.0005248,0.0005248
26,4116.79,0,0,0,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
27,4219.24,0,0,0,0,0,0,0,0,0,0,0.0004852,0.0004852,0.0004852
28,4316.43,0,0,0,0,0,0,0,0,0,0,0.0004654,0.0004654,0.0004654
29,4414.32,0,0,0,0,0,0,0,0,0,0,0.0004456,0.0004456,0.0004456
30,4521.34,0,0,0,0,0,0,0,0,0,0,0.0004258,0.0004258,0.0004258
31,4618.62,0,0,0,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
32,4722.76,0,0,0,0,0,0,0,0,0,0,0.0003862,0.0003862,0.0003862
33,4828.02,0,0,0,0,0,0,0,0,0,0,0.0003664,0.0003664,0.0003664
34,4931.18,0,0,0,0,0,0,0,0,0,0,0.0003466,0.0003466,0.0003466
35,5029.99,0,0,0,0,0,0,0,0,0,0,0.0003268,0.0003268,0.0003268
36,5254.4,0,0,0,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
37,5335.59,0,0,0,0,0,0,0,0,0,0,0.0002872,0.0002872,0.0002872
38,5441.2,0,0,0,0,0,0,0,0,0,0,0.0002674,0.0002674,0.0002674
39,5548.15,0,0,0,0,0,0,0,0,0,0,0.0002476,0.0002476,0.0002476
40,5653.44,0,0,0,0,0,0,0,0,0,0,0.0002278,0.0002278,0.0002278
41,5751.67,0,0,0,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
42,5851.44,0,0,0,0,0,0,0,0,0,0,0.0001882,0.0001882,0.0001882
43,5951.46,0,0,0,0,0,0,0,0,0,0,0.0001684,0.0001684,0.0001684
44,6063.92,0,0,0,0,0,0,0,0,0,0,0.0001486,0.0001486,0.0001486
45,6314.97,0,0,0,0,0,0,0,0,0,0,0.0001288,0.0001288,0.0001288
46,6386.73,0,0,0,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
47,6807.34,0,0,0,0,0,0,0,0,0,0,8.92e-05,8.92e-05,8.92e-05
48,6873.44,0,0,0,0,0,0,0,0,0,0,6.94e-05,6.94e-05,6.94e-05
49,6946.06,0,0,0,0,0,0,0,0,0,0,4.96e-05,4.96e-05,4.96e-05
